cohort_week,total_customers_count,0-6,0-6,7-13,7-13,14-20,14-20,21-27,21-27,28-34,28-34,35-41,35-41,42-48,42-48,49-55,49-55,56-62,56-62,63-69,63-69,70-76,70-76,77-83,77-83,84-90,84-90,91-97,91-97,98-104,98-104,105-111,105-111,112-118,112-118,119-125,119-125,126-132,126-132,133-139,133-139,140-146,140-146,147-153,147-153,154-160,154-160,161-167,161-167,168-174,168-174,175-181,175-181,182-188,182-188
,,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_total,percentage_first_time,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_first_time,percentage_first_time,percentage_total,percentage_first_time,percentage_total,percentage_total,percentage_first_time,percentage_total,percentage_first_time
2014-12-29/2015-01-04,177,11.9,16.38,7.3,7.91,5.08,5.1,4.52,4.0,6.78,5.6,5.08,4.0,2.8,2.82,3.4,3.95,4.52,4.0,1.69,1.7,2.26,2.3,2.3,2.82,4.0,3.95,3.95,2.3,2.8,4.52,4.0,5.65,1.7,3.95,3.95,2.8,6.78,5.6,2.26,1.7,2.26,1.7,2.82,2.3,1.69,1.1,2.3,3.95,2.8,3.95,1.69,1.7,1.69,1.1
2015-01-05/2015-01-11,1771,8.0,9.88,6.0,6.72,4.29,3.7,4.74,4.2,3.73,3.6,3.73,3.2,3.5,3.78,3.8,4.18,3.84,3.4,3.78,3.4,2.54,2.3,2.5,2.65,2.8,3.11,3.16,2.9,3.0,3.56,3.3,3.67,2.3,2.54,2.94,2.6,2.43,2.2,2.65,2.4,2.26,2.0,2.43,2.3,3.22,2.8,3.1,3.5,2.0,2.2,1.64,1.6,,
2015-01-12/2015-01-18,1170,16.2,18.97,8.2,9.83,7.26,6.2,5.98,5.1,5.73,5.0,6.84,5.3,5.7,7.78,5.0,7.01,6.92,5.5,6.15,4.4,5.21,3.8,4.0,5.04,4.2,5.3,4.36,3.8,3.5,4.62,5.0,5.73,3.8,4.44,5.13,4.2,4.53,3.7,4.79,4.1,4.1,3.3,5.73,4.6,3.85,3.2,3.2,4.02,2.8,3.5,0.17,0.2,,
2015-01-19/2015-01-25,1285,16.2,18.37,7.9,8.87,4.82,4.4,5.6,5.1,5.45,4.7,6.69,5.5,5.3,6.15,4.6,5.29,4.9,4.5,4.82,4.4,4.98,4.4,4.7,5.29,3.9,4.44,5.84,5.2,3.4,3.74,3.5,3.81,3.8,4.2,3.74,3.4,3.97,3.7,4.51,4.3,4.75,4.1,2.65,2.6,2.96,2.7,2.1,2.26,0.2,0.23,,,,
2015-01-26/2015-02-01,607,21.3,24.22,7.2,9.06,9.06,7.2,5.93,5.1,9.06,7.9,6.26,5.3,5.9,7.08,5.9,7.08,6.43,5.6,5.6,4.1,7.08,5.9,4.3,5.77,5.6,6.92,6.1,4.4,4.4,5.6,4.9,5.93,6.4,7.08,5.44,4.8,5.27,4.4,5.44,4.8,5.77,4.4,6.1,4.9,6.1,4.1,0.5,0.66,,,,,,
2015-02-02/2015-02-08,509,16.9,19.65,6.1,7.27,6.68,5.5,4.91,4.5,5.7,4.5,4.91,3.9,4.3,5.11,2.4,2.55,3.34,3.1,4.91,4.3,4.13,3.3,3.9,3.93,4.3,4.72,5.11,4.7,3.9,4.32,2.6,2.75,3.5,4.13,3.73,3.3,4.52,3.5,3.54,2.8,3.73,3.5,2.55,2.4,,,,,,,,,,
2015-02-09/2015-02-15,446,17.7,19.51,5.2,5.61,8.3,7.4,5.61,4.7,5.38,4.9,4.48,4.0,3.8,4.48,4.5,5.16,4.48,3.8,4.71,3.8,4.93,4.5,3.8,4.93,3.8,4.93,3.81,3.1,3.1,4.26,4.3,4.71,4.0,4.48,2.24,2.2,4.93,4.0,3.59,3.4,2.69,2.5,0.67,0.7,,,,,,,,,,
2015-02-16/2015-02-22,417,18.0,19.9,7.2,9.35,7.19,6.5,8.39,7.0,5.28,4.3,4.32,4.3,4.1,5.52,4.1,4.56,5.28,4.6,5.52,5.0,4.32,3.8,3.8,4.32,4.3,4.8,4.32,4.1,4.3,5.04,3.6,4.32,3.4,3.84,3.6,2.6,6.0,5.5,2.88,2.4,0.96,1.0,,,,,,,,,,,,
2015-02-23/2015-03-01,1428,8.9,10.01,3.8,4.62,4.06,3.4,3.08,2.7,3.85,3.2,3.57,3.1,2.7,2.94,2.8,3.15,3.43,2.9,3.01,2.5,2.31,1.9,2.9,3.22,1.8,2.03,2.1,1.9,2.0,2.52,2.6,3.01,2.5,3.08,3.01,2.7,1.33,1.3,0.56,0.5,,,,,,,,,,,,,,
2015-03-02/2015-03-08,1731,12.0,15.08,4.3,5.31,4.79,4.0,3.47,2.9,4.04,3.6,2.08,1.9,3.2,3.64,2.8,3.18,3.18,2.8,3.64,3.1,2.77,2.5,2.2,2.37,2.7,3.0,2.83,2.8,1.9,1.96,2.4,2.77,3.1,3.29,2.14,2.0,0.35,0.3,,,,,,,,,,,,,,,,
2015-03-09/2015-03-15,1385,8.6,10.4,4.2,4.98,3.39,2.8,3.25,3.0,3.1,3.0,2.53,2.2,2.6,2.82,2.3,2.53,2.38,2.1,2.09,1.9,2.6,2.2,1.7,1.81,1.9,2.17,2.24,2.2,2.2,2.67,1.7,1.88,1.5,1.59,0.14,0.1,,,,,,,,,,,,,,,,,,
2015-03-16/2015-03-22,1033,7.9,9.2,3.6,4.45,3.39,2.8,2.81,2.5,2.71,2.5,3.97,3.3,3.0,3.39,2.3,2.61,2.52,2.1,2.9,2.7,3.48,2.9,2.3,2.71,2.9,3.48,2.71,2.4,1.9,2.13,1.8,1.84,0.3,0.29,,,,,,,,,,,,,,,,,,,,
2015-03-23/2015-03-29,994,6.3,8.25,2.4,2.72,3.12,3.0,2.41,2.2,2.92,2.4,2.01,2.0,1.9,2.11,2.5,2.92,2.31,2.1,1.91,1.6,2.31,1.8,2.4,2.41,2.2,2.62,2.31,2.1,1.3,1.41,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,
2015-03-30/2015-04-05,1106,9.0,10.22,2.5,2.89,4.43,3.8,4.07,3.2,4.52,3.7,2.8,2.4,2.7,3.71,2.4,3.16,3.35,2.7,3.53,2.7,3.89,3.2,2.4,3.25,2.4,2.98,3.16,2.6,0.4,0.36,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-06/2015-04-12,858,9.9,11.07,3.5,3.73,4.43,3.7,2.8,2.6,3.15,2.8,3.85,3.3,2.6,2.68,1.6,2.21,2.8,2.7,3.03,2.4,3.03,3.0,1.7,2.1,2.3,2.68,0.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
